0,0,0,2.928e-10,3.0264e-10
0,0.2,0,2.9301e-10,3.0284e-10
0,0.4,0,2.9323e-10,3.0307e-10
0,0.6,0,2.9332e-10,3.0338e-10
0,0.8,0,2.9397e-10,3.0381e-10
0,1,0,2.939e-10,3.0431e-10
0,1.2,0,2.9435e-10,3.048e-10
0,1.4,0,2.949e-10,3.0521e-10
0,1.6,0,3.1148e-10,3.0616e-10
0,1.8,0,5.6557e-10,3.0918e-10
0,2,0,1.0858e-08,-1.4046e-09
0,2.2,0,1.1728e-07,-1.0515e-08
0,2.4,0,1.9217e-07,-1.351e-08
0,2.6,0,2.0801e-07,-1.402e-08
0,2.8,0,2.1213e-07,-1.4163e-08
0,3,0,2.1381e-07,-1.4219e-08
0,3.2,0,2.1497e-07,-1.4219e-08
0,3.4,0,2.15e-07,-1.4251e-08
0,3.6,0,2.1538e-07,-1.4252e-08
0,3.8,0,2.1543e-07,-1.4248e-08
0,4,0,2.1595e-07,-1.4256e-08
0,4.2,0,2.1559e-07,-1.4236e-08
0,4.4,0,2.158e-07,-1.4242e-08
0,4.6,0,2.1583e-07,-1.4264e-08
0,4.8,0,2.1591e-07,-1.427e-08
0,5,0,2.1582e-07,-1.4263e-08
0,5.2,0,2.1545e-07,-1.4229e-08
0,5.4,0,2.1629e-07,-1.4263e-08
0,5.6,0,2.1568e-07,-1.424e-08
0,5.8,0,2.1631e-07,-1.424e-08
0,6,0,2.162e-07,-1.4241e-08
0,6.2,0,2.1633e-07,-1.4242e-08
0,6.4,0,2.1574e-07,-1.4285e-08
0,6.6,0,2.161e-07,-1.4243e-08
0,6.8,0,2.1617e-07,-1.4228e-08
0,7,0,2.1607e-07,-1.4241e-08
